label,values.mean,lon,lat,property,solar,capacity
0-5cm,141,-105.034791,40.611357,bdod,1,7.2
5-15cm,151,-105.034791,40.611357,bdod,1,7.2
30-60cm,157,-105.034791,40.611357,bdod,1,7.2
100-200cm,159,-105.034791,40.611357,bdod,1,7.2
0-5cm,200,-105.034791,40.611357,cec,1,7.2
5-15cm,182,-105.034791,40.611357,cec,1,7.2
30-60cm,172,-105.034791,40.611357,cec,1,7.2
100-200cm,160,-105.034791,40.611357,cec,1,7.2
0-5cm,47,-105.034791,40.611357,cfvo,1,7.2
5-15cm,48,-105.034791,40.611357,cfvo,1,7.2
30-60cm,46,-105.034791,40.611357,cfvo,1,7.2
100-200cm,74,-105.034791,40.611357,cfvo,1,7.2
0-5cm,298,-105.034791,40.611357,clay,1,7.2
5-15cm,304,-105.034791,40.611357,clay,1,7.2
30-60cm,302,-105.034791,40.611357,clay,1,7.2
100-200cm,310,-105.034791,40.611357,clay,1,7.2
0-5cm,212,-105.034791,40.611357,nitrogen,1,7.2
5-15cm,137,-105.034791,40.611357,nitrogen,1,7.2
30-60cm,80,-105.034791,40.611357,nitrogen,1,7.2
100-200cm,50,-105.034791,40.611357,nitrogen,1,7.2
0-5cm,255,-105.034791,40.611357,ocd,1,7.2
5-15cm,184,-105.034791,40.611357,ocd,1,7.2
30-60cm,90,-105.034791,40.611357,ocd,1,7.2
100-200cm,44,-105.034791,40.611357,ocd,1,7.2
0-5cm,74,-105.034791,40.611357,phh2o,1,7.2
5-15cm,74,-105.034791,40.611357,phh2o,1,7.2
30-60cm,79,-105.034791,40.611357,phh2o,1,7.2
100-200cm,81,-105.034791,40.611357,phh2o,1,7.2
0-5cm,421,-105.034791,40.611357,sand,1,7.2
5-15cm,414,-105.034791,40.611357,sand,1,7.2
30-60cm,410,-105.034791,40.611357,sand,1,7.2
100-200cm,407,-105.034791,40.611357,sand,1,7.2
0-5cm,280,-105.034791,40.611357,silt,1,7.2
5-15cm,282,-105.034791,40.611357,silt,1,7.2
30-60cm,288,-105.034791,40.611357,silt,1,7.2
100-200cm,283,-105.034791,40.611357,silt,1,7.2
0-5cm,164,-105.034791,40.611357,soc,1,7.2
5-15cm,118,-105.034791,40.611357,soc,1,7.2
30-60cm,73,-105.034791,40.611357,soc,1,7.2
100-200cm,28,-105.034791,40.611357,soc,1,7.2
0-5cm,141,-105.021558,40.589477,bdod,1,8.28
5-15cm,151,-105.021558,40.589477,bdod,1,8.28
30-60cm,160,-105.021558,40.589477,bdod,1,8.28
100-200cm,161,-105.021558,40.589477,bdod,1,8.28
0-5cm,183,-105.021558,40.589477,cec,1,8.28
5-15cm,161,-105.021558,40.589477,cec,1,8.28
